current_path,filename,extension,size_bytes,primary_family,subfamily,lifecycle_status,authority,usage,scope,project,phase,trajectory,trajectory_role,logical_location_current,logical_location_target,naming_compliance,location_compliance,metadata_profile,content_summary,incoming_references,outgoing_references,duplicate_or_overlap,canonical_candidate,proposed_disposition,proposed_target_path,proposed_target_filename,rationale,risk_level,morris_gate_required,confidence,evidence,reserve_or_question,migration_lot_candidate
.cursor/mcp-templates/README.md,README.md,md,3733,F13,,unknown,reference,unknown,repository,,,SFIA v2.4,baseline,repository,repository,compliant,unknown,E,# Cursor MCP templates — Penpot **Dossier** : `.cursor/mcp-templates/` **Statut** : Exemples non secrets — configurat,docs/tooling/penpot/penpot-cursor-agent-rules.md; docs/tooling/penpot/penpot-self-host-docker-guide.md,](../docs/tooling/penpot/penpot-mcp-self-host-rex.md); ](../docs/tooling/penpot/penpot-design-agent-architecture.md); ](../docs/tooling/penpot/penpot-self-host-docker-guide.md); ](../docs/tooling/penpot/penpot-mcp-self-host-rex.md); ](../docs/tooling/penpot/penpot-cursor-agent-rules.md),no,no,keep,.cursor/mcp-templates/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
.cursor/mcp-templates/penpot-mcp.example.json,penpot-mcp.example.json,json,265,F17,,validated,informational,operational,repository,,,SFIA v2.4,baseline,repository,repository,non-compliant,not-applicable,N/A,"{ ""mcpServers"": { ""penpot-self-host"": { ""type"": ""http"", ""url"": ""http://localhost:9001/mcp/stream?userT",.cursor/mcp-templates/README.md; .cursor/mcp-templates/README.md; docs/tooling/penpot/penpot-mcp-self-host-rex.md; docs/tooling/penpot/penpot-self-host-docker-guide.md,,no,no,rename,.cursor/mcp-templates/penpot-mcp.example.json,penpot-mcp-example.json,Family F17 from path/content heuristics; D10 location not-applicable; D12 naming non-compliant.,medium,no,high,path+content-sample+incoming-link-count,,lot-D
.github/workflows/interv360-ci.yml,interv360-ci.yml,yml,1225,F16,,unknown,informational,unknown,tooling,,,SFIA v2.4,baseline,repository,repository,compliant,unknown,N/A,"name: Interv360 CI on: pull_request: paths: - ""projects/interv360/**"" - "".github/workflows/interv360-",,,no,no,keep,.github/workflows/interv360-ci.yml,interv360-ci.yml,Family F16 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-I
.gitignore,.gitignore,none,262,F17,,validated,informational,unknown,repository,,,SFIA v2.4,baseline,repository,repository,compliant,unknown,N/A,Binary or non-text artifact (none),,,no,no,keep,.gitignore,.gitignore,Family F17 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role.,lot-E
README.md,README.md,md,3571,F13,,unknown,reference,unknown,repository,,,SFIA v2.4,baseline,repository,repository,compliant,unknown,E,# SFIA Workspace Workspace local officiel de la **SFIA** (Software Factory & Intelligence Architecture). Ce dépôt est,,,no,no,keep,README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
components/README.md,README.md,md,224,F13,,unknown,reference,unknown,repository,,,SFIA v2.4,baseline,repository,repository,compliant,unknown,E,# Components Espace local pour les notes et artefacts liés aux composants SFIA. Le registre officiel des composants re,,,no,no,keep,components/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
docker/penpot/.env.example,.env.example,example,400,F17,,validated,informational,unknown,repository,,,SFIA v2.4,baseline,repository,repository,non-compliant,unknown,N/A,Binary or non-text artifact (example),,,no,no,rename,docker/penpot/.env.example,env.example,Family F17 from path/content heuristics; D10 location unknown; D12 naming non-compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role.,lot-D
docker/penpot/README.md,README.md,md,2792,F13,,unknown,reference,unknown,repository,,,SFIA v2.4,baseline,repository,repository,compliant,unknown,E,# Penpot Docker — Templates SFIA **Dossier** : `docker/penpot/` **Statut** : Templates sûrs — pas d'installation stan,,](https://help.penpot.app/technical-guide/getting-started/docker/); ](https://help.penpot.app/technical-guide/getting-started/); ](https://help.penpot.app/technical-guide/getting-started/docker/); ](../../docs/tooling/penpot/penpot-self-host-docker-guide.md); ](../.cursor/mcp-templates/penpot-mcp.example.json),no,no,keep,docker/penpot/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
docker/penpot/docker-compose.override.example.yml,docker-compose.override.example.yml,yml,378,F17,,validated,informational,unknown,repository,,,SFIA v2.4,baseline,repository,repository,non-compliant,unknown,N/A,# Example override for a local SFIA Penpot setup. # Use only with the official Penpot docker-compose.yml. # Do not treat,docker/penpot/README.md; docker/penpot/README.md,,no,no,rename,docker/penpot/docker-compose.override.example.yml,docker-compose-override-example.yml,Family F17 from path/content heuristics; D10 location unknown; D12 naming non-compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role.,lot-D
docs/README.md,README.md,md,1104,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,E,# SFIA Platform Documentation Ce dossier contient la documentation plateforme SFIA. Il est distinct de la méthode acti,,,no,no,investigate,docs/README.md,README.md,Family F13 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Lifecycle inferred insufficiently.,lot-E
